Region,total_reviews,total_businesses,total_categories,total_platforms
Africa,5039651,2921,19,24
America,7491361,5592,27,23
Asia,7073941,2987,36,24
Europe,4111924,2531,32,27
Middle East,2852919,1757,29,18
Russia,854322,482,14,4
